T1,T2,T3
-33.523761,9.668865,-9.420882
-23.849811,61.028398,-40.305093
23.969445,-72.161666,8.041370
-21.825301,-16.293991,5.257110
-42.846061,24.446749,69.765150
53.658003,20.728065,-64.590727
-51.266751,-38.724103,-4.144614
-20.505381,-16.359053,-81.828753
27.244155,-42.847950,58.113594
-31.112513,-18.720344,11.870353
49.306777,-70.997604,-51.219820
43.599284,-1.922440,-72.102588
35.789024,1.040577,54.734252
-61.273091,0.321960,-2.951355
57.698879,-21.593559,59.055535
33.105176,-1.926642,-50.516909
-34.513934,-17.913282,1.782583
-80.728635,7.783542,-14.908794
5.819522,32.132941,31.474190
-62.158978,-20.228287,8.665910
62.403628,-43.862066,65.713421
36.179178,-78.108774,35.222007
6.293590,-32.989012,70.324529
3.420276,15.043361,-47.473646
82.022936,36.665298,1.757913
-9.924795,59.989074,44.901767
16.214448,15.119182,-42.926317
39.365500,-6.160811,-83.343634
-75.960907,-13.937665,-8.913614
-34.746533,101.032454,-18.851748
31.938671,40.725987,-36.146244
34.883177,-75.033896,26.073095
-14.030890,-11.487004,-86.746763
-55.018256,67.042887,-41.196126
32.775096,-75.123316,15.697655
-54.350272,-5.678927,67.596349
39.324597,-68.811714,27.149800
72.165911,-28.247529,-23.480573
-62.108199,-29.841456,5.681497
55.392936,-47.894429,62.123949
17.148540,67.140746,-34.388991
-86.837555,17.638776,-20.508870
17.025183,43.141794,-24.292524
-25.460093,-29.155146,-66.041396
35.999605,45.765016,-42.300164
69.795070,-19.512303,-9.298078
15.197055,-22.653600,-53.363138
-15.522695,-21.128107,-48.233796
7.535470,14.746791,-47.022867
77.549745,-36.842095,52.518593
-36.322965,-6.070496,-32.798027
19.734630,-78.384351,7.750095
-55.908015,-3.538745,-5.288523
-81.238205,-19.648119,4.069727
78.717510,-23.442024,37.653514
-54.367924,20.282104,62.056207
-1.716661,-46.207376,64.425468
-31.282621,105.087859,-29.436246
74.680004,2.786579,-10.264196
76.182701,15.071628,6.852930
24.499239,-4.710925,64.030060
32.121217,-8.371420,-56.610295
2.551320,-81.039441,-24.040735
42.529201,0.317877,-67.321983
-68.092116,-4.893815,-8.050003
-58.571167,-28.081258,24.113906
-29.698096,39.370269,51.748530
22.294062,-11.128549,74.806378
58.935179,9.004246,28.766245
-33.150910,76.311352,-45.478840
-42.417732,9.452795,65.220842
50.748450,29.735379,-53.419028
41.942035,-16.313202,59.895153
31.662713,-8.401828,-60.154268
-15.633593,26.313512,-56.178460
22.256328,16.829462,-25.899683
27.957551,-73.489254,29.040259
32.362184,-87.522477,-46.839671
-52.478937,70.152101,-60.006177
-53.018962,-39.408728,13.138783
-77.042145,43.185628,-35.939212
28.427163,-10.489411,69.929703
-33.995744,-34.611876,4.055650
7.291937,70.009563,-35.718344
-48.333139,15.866406,56.204784
38.976341,-68.442578,27.080161
-4.999463,-6.952295,-86.874750
74.212764,8.603392,11.790179
-50.633324,-44.651973,-7.765194
-72.636240,24.997687,-43.514957
82.048464,26.027065,10.648182
-21.760581,1.316576,51.057979
74.434940,18.927964,7.393447
63.411601,84.538291,-9.922034
-27.233650,31.354486,56.219008
-56.073339,-5.554116,73.458650
-29.685160,-37.964083,-5.640526
-73.981486,48.191024,-32.314286
-46.440593,60.308337,-38.360460
32.001386,6.336497,-58.190127
37.583718,-56.250105,13.428137
-23.763063,27.719830,-58.308882
-82.825340,-8.677099,-7.808783
10.364038,58.878466,-29.312542
-48.811872,3.524807,-58.983727
-33.899988,80.459926,-32.065883
45.870058,-0.618857,39.310549
46.352105,-82.734846,5.524210
-32.538564,48.216589,-35.804730
-42.065797,-2.598784,-49.506441
-14.404916,-12.099870,-6.941256
-9.095325,5.545353,-5.596936
69.412181,-17.272895,45.155052
44.103012,58.034806,-49.974182
-4.370583,-47.556849,68.516051
50.197246,-46.080562,66.698007
-62.829029,-29.000098,4.134196
-52.330581,31.013327,-46.268302
-6.767875,54.146440,50.934998
36.341199,55.642968,10.178558
-74.215157,-6.270376,-28.878981
52.308843,-26.576251,78.590146
-32.066435,-3.605785,-11.332958
45.205592,-86.516572,5.937999
-32.812139,81.444958,-31.679907
34.054207,42.752028,-36.556317
-81.279884,-19.143329,3.051315
-14.473279,31.885674,62.216597
50.202406,-74.767460,-55.386120
-80.077213,-6.174360,-6.407678
33.747280,-78.925067,29.330614
14.746632,52.990697,30.610713
-45.765187,50.284585,73.694470
-66.485391,58.106850,-50.291419
42.777232,-81.021710,-52.752609
86.291194,-1.734361,38.399355
-15.656686,-15.668762,0.944480
-51.791945,-8.947914,-44.401608
-34.949461,73.808649,-36.361328
-68.664271,16.116883,-22.185134
39.322991,-24.596384,43.408099
19.937941,-85.002677,8.447908
-20.924857,14.888159,54.872558
-14.250704,-10.376331,-91.041394
