Stage	Stage_16
Rasl11a	0.000000
Klhl8	-0.000573
Psma6	-0.000375
Folr1	0.001546
Psma7	-0.000037
Ncoa4	0.000435
Acaa2	-0.000751
Gstp2	-0.000721
Atp5c1	-0.000127
Phgdh	0.001698
Chka	0.002559
Hspd1	-0.000381
Cenpn	-0.001774
Mdh2	0.000057
Rps24	-0.000406
Rbm3	-0.000924
Ooep	-0.000020
Atp5h	-0.000044
Pramel7	0.001273
Rnf7	-0.001399
Ndrg1	0.002401
Snord96a	-0.001442
Tnfsf13b	-0.000072
Cited2	-0.000821
Comt	-0.000862
Rhpn2	-0.000031
Snrpd2	-0.000350
Snord100	-0.002745
Mif	-0.001443
Bnip3	0.001404
Ndufb8	-0.000208
Ndufa4	0.000124
Rpl3	-0.000391
Psma4	-0.000076
Tax1bp3	0.000087
Plp2	0.000037
Larp4	0.000719
Mrps18b	-0.000492
Uqcr11	-0.000099
Psmb2	-0.000336
Tpm4	0.001560
H2-T23	-0.000041
Hspe1	-0.000336
3110003A17Rik	0.000947
Tiparp	-0.001112
2010107E04Rik	-0.000268
Hsd3b7	0.000480
Lysmd1	0.000010
Rps4y2	-0.000038
Cul1	0.000637
Sap30	-0.003015
Supt4h1	-0.001259
Birc3	0.000047
Atpif1	-0.000473
2700029M09Rik	-0.001353
Tubb5	-0.000855
Mdh1	0.000396
Atp5j2	-0.000337
Nme1	-0.000356
Aph1a	0.000439
H47	0.000002
Ndufb9	-0.000187
Mat2a	-0.001064
Snord22	-0.000371
Dbf4	-0.001773
Eif4a1	-0.000401
Blvrb	-0.002726
Hist1h2bc	-0.000507
Nhp2	-0.000013
Tmem41b	-0.001415
Nexn	-0.000535
Prr13	-0.000056
Naca	-0.000144
Gsto1	0.000767
8430410A17Rik	-0.002049
Hmgb3	-0.001730
Cnn2	0.003160
2010107G23Rik	0.000686
H3f3a	-0.000093
1300002E11Rik	-0.000855
Atp5j	-0.000309
Polr2c	-0.000269
Rps8	-0.000553
Spry4	-0.002714
Psma2	-0.000196
Gm8801	0.000241
Tubb2c	-0.001011
Rps10	-0.000393
C1qbp	-0.000618
Trap1a	0.001911
Aqp8	-0.004060
Lrpap1	0.000245
Gm12789	0.000645
Gm10324	-0.001983
Mthfd2	-0.001792
Arpc5	0.001331
Psma1	0.000102
Hnrnpk	0.000099
Ube2l6	-0.004104
Alpl	-0.001927
Khdc1c	0.001538
Uqcrq	0.000089
G6pdx	-0.000601
Tmem129	0.000024
Nlrp14	-0.000034
Magoh	-0.000444
Ndufa3	-0.000174
Ap2m1	0.000573
Fam46c	-0.000123
Rogdi	-0.000287
Slc2a3	0.003548
Fkbp3	-0.000903
Grn	-0.000203
Akr1c21	-0.002203
Calr	-0.000249
Tstd1	0.001184
Wdr45	0.000135
Cct5	-0.000447
Ppt2	-0.001496
Snord65	-0.001123
Arpc1b	0.000665
Hagh	-0.001762
Atp5a1	0.000217
Tom1	0.000413
Ctsa	-0.000904
Zfp781	-0.001023
Mylpf	0.000309
Spns1	-0.000781
Dnajb9	0.000033
Pou5f1	-0.002237
Rragc	0.000396
Tmem92-ps	0.000031
Plin2	-0.000215
Gm15698	0.000100
Dhrs7	0.002048
Cox17	-0.000335
Atp6v1g1	0.000391
Pomp	-0.000106
Psmb6	-0.000658
Eif1b	-0.001544
Scd1	-0.000255
Ssr4	-0.000428
Gm16039	-0.000646
Snord83b	-0.000323
Rbbp7	-0.000100
Arf1	0.000681
Id1	-0.001794
Gatad2b	-0.000920
Cth	-0.002732
P4hb	-0.001273
Cyba	0.002262
Hdac1	-0.000661
Dusp14	0.002694
Pdxk	0.000174
Cnbp	-0.000041
Wsb1	0.000340
Ninj1	0.002075
Pramel6	-0.000424
Vnn1	-0.002240
Ubc	0.000188
Decr2	-0.000325
Zmpste24	-0.000216
Tdrd12	-0.000040
Ppib	-0.000281
Cox5a	0.000510
Prdx2	-0.000573
Ppm1a	-0.000948
Ndufc1	-0.000409
Txn1	0.000149
Tceb2	0.000112
Atp6v1f	0.000527
Ubxn1	-0.000167
H2-K1	0.002384
Mrpl22	-0.000242
Pgam1	-0.001057
Tfrc	-0.002276
Tomm20	-0.000222
C130026I21Rik	0.002231
Gpbp1	-0.000345
Rpl23	-0.000314
Slc39a4	0.000505
Eef2	-0.000142
Rrm2	0.000656
Fdft1	-0.001762
Rbm38	-0.001638
Ube2v1	0.000200
Ctsd	-0.000678
Parl	0.000265
Sdhb	-0.000034
Cdc20	-0.000411
Akirin2	-0.001381
Ei24	-0.002955
Atp6v0b	0.000319
B020004J07Rik	0.000066
Ccdc72	0.000160
Tmbim6	0.000357
Clic1	-0.001510
Jak2	0.000075
Mrto4	-0.000444
Tbc1d15	-0.000660
Slc24a5	-0.003640
Uap1	-0.002031
Pa2g4	-0.000035
Arg2	-0.000236
1810029B16Rik	-0.001355
Ly6c1	-0.001941
Gde1	-0.001898
Txndc12	-0.000995
Atp6v0e	0.000473
Rnf141	0.001208
Rab38	-0.001408
Cnot6l	0.000246
Ndufa7	-0.000438
Mrpl18	0.000119
Rnf114	-0.000066
Park7	-0.000630
Pdzk1	0.003569
Tmem50b	0.001858
Atox1	0.000056
Exosc7	-0.000476
Cldn6	0.003873
Rpph1	0.000207
Cd164l2	-0.001315
Glo1	-0.001834
Skp1a	-0.000144
Gm5506	0.000078
Gm3286	-0.002171
Psenen	-0.000056
Ccna2	-0.000375
Anxa7	0.000830
Psmb7	-0.000345
Fkbp11	-0.000874
Zfp934	-0.000048
Ech1	0.000142
Mbtd1	-0.001578
Hsp90b1	-0.000587
Shfm1	-0.000179
Klhdc2	-0.001327
Psmc6	-0.000313
Banf1	-0.000336
Iah1	-0.001490
Gjb5	-0.000096
Timm10	-0.000136
1700021F05Rik	-0.000339
